fca_sym,FBgn,fa_sym
A16,FBgn0028965,CG9933
ACXA,FBgn0040510,ACXA
ACXB,FBgn0040509,ACXB
ACXC,FBgn0040508,ACXC
ACXE,FBgn0040506,ACXE
AIF,FBgn0031392,AIF
APP-BP1,FBgn0261112,APP-BP1
ARY,FBgn0058064,ARY
ATP7,FBgn0030343,ATP7
ATPsynCF6L,FBgn0035585,ATPsynCF6L
ATPsynGL,FBgn0031941,ATPsynGL
ATPsynbetaL,FBgn0036568,ATPsynβL
ATPsynepsilonL,FBgn0051477,ATPsynεL
Ack,FBgn0028484,Ack
Actn3,FBgn0015008,Actn3
Acyp,FBgn0025115,Acyp
Acyp2,FBgn0038363,Acyp2
Ada,FBgn0037661,Ada
Adck5,FBgn0036142,Adck5
Adgf-A2,FBgn0043025,Adgf-A2
Adgf-B,FBgn0036751,Adgf-B
Adgf-E,FBgn0033952,Adgf-E
Adk1,FBgn0037995,Adk1
Afti,FBgn0038223,Afti
Agpat2,FBgn0026718,Agpat2
Ald2,FBgn0039425,Ald2
Alp11,FBgn0030661,Alp11
Alr,FBgn0031068,Alr
Andorra,FBgn0030898,Andorra
Ant2,FBgn0025111,Ant2
Apl,FBgn0042178,Apl
Arl2,FBgn0004908,Arl2
Arl6IP1,FBgn0038453,Arl6IP1
Arp5,FBgn0038576,Arp5
Arp53D,FBgn0011743,Arp53D
Art2,FBgn0031592,Art2
Art6,FBgn0038189,Art6
Art9,FBgn0038188,Art9
Atf-2,FBgn0265193,Atf-2
Atg16,FBgn0039705,Atg16
Atg8b,FBgn0038539,Atg8b
Atx-1,FBgn0029907,Atx-1
Atxn7,FBgn0031420,Atxn7
B-H2,FBgn0004854,B-H2
B9d1,FBgn0038342,B9d1
BBS1,FBgn0035741,BBS1
BI-1,FBgn0035871,BI-1
BOD1,FBgn0039560,BOD1
BORCS6,FBgn0035140,BORCS6
BTBD9,FBgn0030228,BTBD9
Best3,FBgn0036492,Best3
Best4,FBgn0036491,Best4
Blm,FBgn0002906,Blm
Bub1,FBgn0031696,Bub1
Bug22,FBgn0032248,Bug22
CAH13,FBgn0033542,CAH13
CAH14,FBgn0034554,CAH14
CAH15,FBgn0034560,CAH15
CAH4,FBgn0039235,CAH4
CAH5,FBgn0040629,CAH5
CCY,FBgn0267592,CCY
CG10013,FBgn0038012,CG10013
CG10053,FBgn0037490,CG10053
CG10055,FBgn0037482,CG10055
CG10063,FBgn0035727,CG10063
CG10064,FBgn0035724,CG10064
